port_b,port_a,count_condition,count_joint,probability
25,465,8426662,5290355,0.627811463186728
25,995,8426662,5258854,0.62407320953421419
25,21,8426662,4724223,0.560628039904769
25,53,8426662,3974305,0.47163455707609964
25,3306,8426662,3799645,0.45090748863547631
25,22,8426662,2972520,0.35275177763152243
25,8443,8426662,2954625,0.35062816094913979
25,8080,8426662,2819909,0.33464128500704077
25,6443,8426662,2624051,0.31139862973025378
25,20000,8426662,2619342,0.31083980821824825
25,5432,8426662,2604374,0.30906354141177134
25,1883,8426662,2592226,0.30762192668935812
25,8883,8426662,2583338,0.30656717926979865
25,4567,8426662,2575269,0.30560962335975977
25,5900,8426662,2554654,0.303163221688493
25,5672,8426662,2554148,0.30310317418688443
25,631,8426662,2530204,0.30026171691709008
25,7547,8426662,2509298,0.29778078199885077
25,6379,8426662,2443106,0.28992571435759495
25,1521,8426662,2424869,0.2877615122096982
25,30005,8426662,2417370,0.28687159874218282
25,161,8426662,2384347,0.28295272790103604
25,23,8426662,2363459,0.28047392905992907
25,1723,8426662,2356375,0.2796332640374089
25,49154,8426662,2296391,0.27251490566490028
25,1433,8426662,2287125,0.27141530062556207
25,27017,8426662,2263486,0.26861003799606537
25,502,8426662,2256060,0.26772878750803103
25,102,8426662,2247814,0.26675022683952437
25,623,8426662,2243229,0.26620612052554143
25,50805,8426662,2241533,0.26600485459129608
25,51005,8426662,2238370,0.26562949837076649
25,49152,8426662,2218663,0.2632908499237302
25,11211,8426662,2106253,0.24995104823238432
25,445,8426662,2048112,0.24305140042403506
53,80,7715436,5202489,0.67429617717002643
53,443,7715436,4898645,0.63491486417617882
53,993,7715436,4083711,0.52929102127216143
53,995,7715436,4058743,0.5260549112195344
53,21,7715436,4044063,0.52415223196718885
53,110,7715436,4001768,0.518670364189399
53,143,7715436,4001429,0.51862642629658262
53,25,7715436,3974305,0.51511087643005526
53,465,7715436,3809147,0.49370469795874139
53,587,7715436,3698299,0.47933765505928633
53,3306,7715436,3313176,0.42942174622406304
53,8443,7715436,2843011,0.3684835179761714
53,8080,7715436,2680234,0.34738594163699887
53,22,7715436,2655088,0.34412676095038569
53,8883,7715436,2649283,0.3433743731397681
53,1883,7715436,2609106,0.33816701998435345
53,6443,7715436,2608781,0.3381248966357831
53,7547,7715436,2602120,0.3372615624055465
53,20000,7715436,2600318,0.337028004639012
53,4567,7715436,2563757,0.33228932234030584
53,1433,7715436,2541061,0.32934768689676125
53,5672,7715436,2536236,0.32872231718337108
53,5900,7715436,2517446,0.32628693958449012
53,631,7715436,2502903,0.32440201694369575
