port_b,port_a,count_condition,count_joint,probability
80,5900,8785044,874,9.9487264947107837e-05
80,1521,8785044,791,9.0039389671810413e-05
80,11211,8785044,625,7.1143639121215552e-05
80,51005,8785044,593,6.7501084798209324e-05
80,1723,8785044,535,6.0898955087760519e-05
80,65535,8785044,500,5.6914911296972444e-05
80,58000,8785044,492,5.6004272716220884e-05
80,47808,8785044,226,2.5725539906231544e-05
80,502,8785044,218,2.4814901325479987e-05
80,50805,8785044,217,2.4701071502886043e-05
80,623,8785044,204,2.3221283809164758e-05
80,53194,8785044,155,1.7643622502061458e-05
80,62220,8785044,145,1.6505324276122009e-05
80,102,8785044,115,1.3090429598303662e-05
102,502,842,131,0.15558194774346792
102,22,842,127,0.15083135391923991
102,8085,842,120,0.14251781472684086
102,11211,842,120,0.14251781472684086
102,110,842,120,0.14251781472684086
102,443,842,119,0.14133016627078385
102,1521,842,117,0.13895486935866982
102,8080,842,115,0.13657957244655583
102,80,842,115,0.13657957244655583
102,47808,842,114,0.13539192399049882
102,8883,842,114,0.13539192399049882
102,4567,842,114,0.13539192399049882
102,23,842,113,0.13420427553444181
102,27017,842,113,0.13420427553444181
102,21,842,113,0.13420427553444181
102,20000,842,112,0.1330166270783848
102,8000,842,112,0.1330166270783848
102,51005,842,111,0.13182897862232779
102,143,842,111,0.13182897862232779
102,50805,842,109,0.12945368171021376
102,993,842,109,0.12945368171021376
102,2000,842,109,0.12945368171021376
102,587,842,109,0.12945368171021376
102,53,842,108,0.12826603325415678
102,8089,842,107,0.12707838479809977
102,58000,842,106,0.12589073634204276
102,5060,842,106,0.12589073634204276
102,6443,842,106,0.12589073634204276
102,631,842,105,0.12470308788598575
102,623,842,105,0.12470308788598575
102,179,842,104,0.12351543942992874
102,995,842,104,0.12351543942992874
102,1883,842,103,0.12232779097387174
102,65535,842,103,0.12232779097387174
102,8081,842,101,0.11995249406175772
102,161,842,99,0.11757719714964371
102,465,842,98,0.1163895486935867
102,5900,842,98,0.1163895486935867
102,6379,842,98,0.1163895486935867
102,62220,842,98,0.1163895486935867
102,3306,842,98,0.1163895486935867
102,5432,842,98,0.1163895486935867
102,53194,842,97,0.11520190023752969
102,1433,842,97,0.11520190023752969
102,30005,842,97,0.11520190023752969
102,25,842,97,0.11520190023752969
102,1723,842,97,0.11520190023752969
102,49152,842,95,0.11282660332541568
102,5672,842,94,0.11163895486935867
102,8443,842,94,0.11163895486935867
102,49154,842,92,0.10926365795724466
102,7547,842,91,0.10807600950118765
102,3389,842,87,0.10332541567695962
102,445,842,64,0.076009501187648459
110,143,350149,329438,0.9408508949047405
110,80,350149,328521,0.93823200980154164
110,993,350149,319790,0.913296910743712
110,995,350149,319664,0.91293706393563878
110,21,350149,313282,0.89471053751402974
110,25,350149,230253,0.65758577062907508
110,587,350149,222528,0.635523734181734
110,465,350149,220330,0.62924640652979158
110,443,350149,215242,0.61471544970855263
110,3306,350149,193107,0.55149950449665719
110,22,350149,65054,0.18578947819356903
110,53,350149,18745,0.053534352518499265
110,5432,350149,13889,0.039665970772442591
110,8443,350149,7673,0.021913528240834618
110,5060,350149,2494,0.0071226820582095049
110,3389,350149,2491,0.007114114277064907
110,445,350149,1211,0.0034585276553695714
110,49154,350149,1204,0.0034385361660321748
110,8080,350149,1037,0.0029615963489828616
110,49152,350149,934,0.0026674358630183149
110,23,350149,892,0.0025474869269939368
110,8081,350149,480,0.0013708449831357507
110,8000,350149,428,0.0012223367766293779
110,1433,350149,394,0.0011252352569905955
110,2000,350149,335,0.00095673556114682606
110,179,350149,300,0.00085677811445984426
110,8085,350149,286,0.00081679513578505154
110,8089,350149,211,0.00060260060717009047
110,51005,350149,181,0.000516922795724106
110,4567,350149,176,0.00050264316048310867
110,58000,350149,175,0.00049978723343490912
110,1723,350149,172,0.00049121945229031066
110,1883,350149,167,0.00047693981704931331
110,5672,350149,159,0.00045409240066371744
110,6379,350149,157,0.00044838054656731849
110,161,350149,151,0.00043124498427812158
110,8883,350149,146,0.00041696534903712417
110,30005,350149,143,0.00040839756789252577
110,20000,350149,142,0.00040554164084432627
110,1521,350149,139,0.00039697385969972781
110,631,350149,136,0.00038840607855512941
110,50805,350149,136,0.00038840607855512941
110,62220,350149,135,0.00038555015150692991
110,7547,350149,134,0.0003826942244587304
110,5900,350149,122,0.00034842309988033663
110,53194,350149,122,0.00034842309988033663
110,65535,350149,122,0.00034842309988033663
110,102,350149,120,0.00034271124578393768
110,11211,350149,120,0.00034271124578393768
110,502,350149,118,0.00033699939168753873
110,27017,350149,117,0.00033414346463933923
110,6443,350149,110,0.00031415197530194287
110,623,350149,109,0.00031129604825374342
110,47808,350149,103,0.00029416048596454651
